Method,Precision@5,Recall@5,F1@5,Precision@10,Recall@10,F1@10
Community-UU (Louvain),0.4543,0.1582,0.2347,0.3467,0.2184,0.268
Community-II (Infomap),0.4613,0.1204,0.191,0.3648,0.1768,0.2382
SVD+Louvain,0.6302,0.1776,0.2771,0.5005,0.2561,0.3388
ALS+Louvain,0.6754,0.2556,0.3709,0.605,0.3947,0.4777
BM25+Louvain,0.4643,0.1424,0.218,0.3482,0.1992,0.2534
SVD+Leiden,0.6302,0.1776,0.2771,0.5005,0.2561,0.3388
ALS+Leiden,0.6754,0.2556,0.3709,0.605,0.3947,0.4777
BM25+Leiden,0.4643,0.1424,0.218,0.3492,0.2015,0.2555
SVD+Infomap,0.6231,0.1709,0.2683,0.4945,0.2439,0.3267
ALS+Infomap,0.6482,0.2258,0.335,0.5824,0.3504,0.4376
BM25+Infomap,0.4633,0.1414,0.2167,0.3487,0.2005,0.2546
SVD+FluidC,0.6111,0.1622,0.2564,0.4859,0.2342,0.3161
ALS+FluidC,0.6342,0.2119,0.3177,0.5688,0.3274,0.4156
BM25+FluidC,0.4583,0.1356,0.2093,0.3447,0.1927,0.2472
