n_factors,regularization,alpha,n_iterations,elapsed_s,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10
100,0.1,10,10,31.4,0.67248,0.24677,0.36105,0.61074,0.38446,0.47187
100,1.0,10,10,31.4,0.67517,0.24448,0.35897,0.61745,0.38927,0.4775
100,0.5,10,10,31.3,0.67517,0.24411,0.35857,0.61812,0.38657,0.47567
100,0.01,10,10,31.1,0.66242,0.2453,0.35802,0.60235,0.38199,0.4675
100,1.0,10,20,50.7,0.67651,0.24302,0.35759,0.61174,0.38413,0.47193
100,0.01,10,20,50.6,0.65973,0.24318,0.35537,0.60906,0.38241,0.46983
100,0.5,10,20,51.0,0.66242,0.24195,0.35444,0.60872,0.38482,0.47154
100,0.1,10,20,50.7,0.6604,0.2415,0.35367,0.6094,0.38228,0.46983
100,1.0,40,10,34.9,0.49329,0.24074,0.32357,0.48758,0.38853,0.43245
100,0.5,40,10,30.8,0.48993,0.23627,0.3188,0.49195,0.39189,0.43625
100,0.1,40,10,32.3,0.48255,0.23622,0.31718,0.47416,0.38429,0.42452
100,0.5,40,20,50.4,0.46577,0.22962,0.3076,0.47181,0.38152,0.42189
100,1.0,40,20,51.8,0.46309,0.23008,0.30742,0.4698,0.38145,0.42104
100,0.1,40,20,51.0,0.45168,0.22548,0.3008,0.46409,0.37872,0.41708
100,0.01,40,10,31.0,0.44362,0.22566,0.29915,0.45268,0.37556,0.41053
100,0.5,80,10,30.6,0.41141,0.22971,0.29481,0.4255,0.38167,0.4024
100,1.0,80,10,30.9,0.41007,0.22868,0.29362,0.42483,0.38089,0.40166
100,0.01,40,20,51.1,0.43154,0.22152,0.29276,0.45369,0.37429,0.41019
100,1.0,80,20,50.9,0.3953,0.22273,0.28492,0.40973,0.37201,0.38996
100,0.1,80,10,31.2,0.38792,0.22479,0.28464,0.40503,0.37243,0.38805
100,0.5,80,20,51.6,0.38859,0.21968,0.28068,0.4151,0.37786,0.3956
100,0.01,80,10,31.0,0.37114,0.21943,0.2758,0.38456,0.36311,0.37353
50,1.0,10,10,25.4,0.53087,0.18537,0.27479,0.45436,0.27925,0.34591
50,0.5,10,10,24.1,0.52685,0.1836,0.27231,0.45872,0.28169,0.34904
100,0.1,80,20,50.7,0.37047,0.21453,0.27171,0.39161,0.36349,0.37703
50,0.1,10,10,24.1,0.51745,0.18123,0.26844,0.46107,0.28215,0.35008
100,0.01,80,20,51.1,0.35973,0.21311,0.26765,0.37886,0.35563,0.36688
50,0.01,10,10,23.9,0.51409,0.17896,0.2655,0.45403,0.27907,0.34567
