k1,b,elapsed_s,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10
3.0,1.0,12.8,0.46242,0.13679,0.21112,0.35369,0.19818,0.25403
2.0,1.0,12.8,0.44899,0.12873,0.20009,0.34463,0.18466,0.24047
1.5,1.0,12.6,0.43423,0.12294,0.19163,0.3406,0.18118,0.23654
1.2,1.0,12.6,0.43087,0.12115,0.18913,0.33423,0.17575,0.23036
1.0,1.0,12.7,0.42953,0.12067,0.18841,0.33087,0.17369,0.2278
3.0,0.75,12.5,0.41946,0.11873,0.18508,0.32248,0.17026,0.22286
2.0,0.75,13.5,0.40805,0.11464,0.17899,0.31846,0.16725,0.21932
1.5,0.75,12.4,0.40671,0.11409,0.1782,0.3151,0.16394,0.21567
1.2,0.75,12.8,0.39732,0.11095,0.17346,0.31174,0.16277,0.21387
0.5,1.0,12.7,0.39799,0.11086,0.17342,0.3104,0.15987,0.21104
1.0,0.75,12.7,0.39329,0.10927,0.17102,0.30705,0.15987,0.21026
3.0,0.5,13.2,0.37114,0.10324,0.16155,0.2896,0.14846,0.19629
2.0,0.5,14.1,0.36846,0.10224,0.16007,0.28591,0.1482,0.19522
0.5,0.75,12.8,0.37248,0.10147,0.1595,0.30034,0.15359,0.20324
1.5,0.5,12.9,0.36711,0.10171,0.15928,0.28523,0.14679,0.19383
1.2,0.5,12.6,0.36309,0.0986,0.15508,0.28456,0.14594,0.19293
1.0,0.5,12.8,0.35772,0.09785,0.15366,0.28356,0.14595,0.19271
0.5,0.5,12.7,0.35101,0.09417,0.1485,0.28456,0.14362,0.1909
1.5,0.25,12.6,0.32953,0.09219,0.14408,0.25839,0.13147,0.17427
2.0,0.25,12.7,0.32752,0.09231,0.14403,0.25839,0.13246,0.17514
3.0,0.25,12.8,0.32752,0.09205,0.14371,0.25805,0.13204,0.1747
1.0,0.25,12.6,0.33154,0.08989,0.14144,0.26141,0.1325,0.17586
1.2,0.25,12.7,0.32886,0.08971,0.14097,0.26107,0.13277,0.17602
0.5,0.25,12.8,0.33423,0.08886,0.1404,0.26913,0.1354,0.18016
0.5,0.0,13.4,0.31745,0.08597,0.1353,0.25235,0.127,0.16896
1.0,0.0,12.6,0.29799,0.08179,0.12835,0.23557,0.11855,0.15773
1.2,0.0,12.9,0.29262,0.08035,0.12608,0.23188,0.11711,0.15563
1.5,0.0,12.6,0.28456,0.07908,0.12376,0.22852,0.11445,0.15252
2.0,0.0,12.9,0.27718,0.07745,0.12108,0.22248,0.11015,0.14735
3.0,0.0,12.8,0.26443,0.07494,0.11679,0.21611,0.10596,0.1422
