Method,Precision@5,Recall@5,F1@5,Precision@10,Recall@10,F1@10
Community-UU (Louvain),0.4543,0.1582,0.2347,0.3467,0.2184,0.268
Community-II (Infomap),0.4613,0.1209,0.1915,0.3653,0.1774,0.2388
SVD+Louvain,0.6302,0.1776,0.2771,0.5005,0.2561,0.3388
ALS+Louvain,0.2543,0.1038,0.1474,0.2286,0.1609,0.1889
BM25+Louvain,0.4101,0.1194,0.1849,0.3161,0.17,0.2211
SVD+Leiden,0.6302,0.1776,0.2771,0.5005,0.2561,0.3388
ALS+Leiden,0.2543,0.1038,0.1474,0.2286,0.1609,0.1889
BM25+Leiden,0.409,0.1187,0.184,0.3161,0.17,0.2211
SVD+Infomap,0.6151,0.1625,0.2571,0.4894,0.2334,0.3161
ALS+Infomap,0.2442,0.0849,0.126,0.2226,0.1384,0.1707
BM25+Infomap,0.409,0.1187,0.184,0.3161,0.17,0.2211
SVD+FluidC,0.6111,0.1622,0.2564,0.4859,0.2342,0.3161
ALS+FluidC,0.2472,0.0847,0.1262,0.2296,0.1423,0.1757
BM25+FluidC,0.405,0.1139,0.1779,0.3136,0.1639,0.2153
