Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,2,0.0005,0.0001,-0.0001,9.0188
Leiden,2,0.0001,0.0,0.0,0.481
Walktrap,2,0.0,0.0002,0.0,33.4134
Infomap,2,0.0005,0.0001,-0.0001,17.0227
Label Propagation (LPA),2,0.0005,0.0001,-0.0001,4.9693
Fast LPA (FLPA),2,0.0,0.0002,0.0,70.4044
LPA-MNI,2,0.0007,0.0007,0.0003,53.2543
Constrained LPA (CLPA),2,0.0005,0.0001,-0.0001,9.6817
FluidC,2,0.0012,0.0,-0.0001,3.8798
Kernighan-Lin,2,0.088,0.0002,-0.0014,7.6072
Markov Clustering (MCL),2,0.0,0.0,0.0,14.7375
