Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,5,0.5233,0.4843,0.3472,0.0039
Leiden,5,0.5276,0.5524,0.3809,0.0007
Walktrap,4,0.4888,0.5816,0.4662,0.0005
Infomap,6,0.5247,0.5373,0.3659,0.0071
Label Propagation (LPA),4,0.5205,0.6596,0.4815,0.0012
Fast LPA (FLPA),5,0.5194,0.6256,0.4505,0.029
LPA-MNI,4,0.5258,0.588,0.4293,0.0159
Constrained LPA (CLPA),5,0.5177,0.5345,0.3821,0.0047
FluidC,7,0.4583,0.4807,0.2799,0.0028
Girvan-Newman,3,0.3815,0.9085,0.9175,0.1134
Kernighan-Lin,8,0.4197,0.3819,0.1515,0.0042
Spinglass,5,0.5285,0.5565,0.3792,0.3051
Markov Clustering (MCL),12,0.455,0.4386,0.211,0.0378
