Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,59,0.813,0.2473,0.1003,8.897
Leiden,62,0.8179,0.2479,0.0973,0.428
Walktrap,1227,0.7519,0.2967,0.1134,38.7346
Infomap,812,0.754,0.2976,0.0277,11.0117
Label Propagation (LPA),649,0.7607,0.2748,0.0355,5.1873
Fast LPA (FLPA),1404,0.7411,0.276,0.0414,37.7758
LPA-MNI,912,0.7494,0.2733,0.037,52.4639
Constrained LPA (CLPA),62,0.8141,0.2467,0.1068,6.9124
FluidC,149,0.6733,0.2238,0.0209,6.1294
Kernighan-Lin,8,0.7174,0.068,0.052,8.0388
Markov Clustering (MCL),2941,0.637,0.2885,0.0182,10.5211
