Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,10,0.6046,0.8903,0.8069,0.0099
Leiden,10,0.6046,0.8903,0.8069,0.0011
Walktrap,10,0.6029,0.8874,0.8154,0.0016
Infomap,12,0.6005,0.9242,0.8967,0.0133
Label Propagation (LPA),10,0.6032,0.8866,0.7913,0.0032
Fast LPA (FLPA),10,0.6046,0.8903,0.8069,0.0558
LPA-MNI,12,0.601,0.9269,0.8893,0.0309
Constrained LPA (CLPA),10,0.6046,0.8903,0.8069,0.0092
FluidC,10,0.5671,0.8443,0.6938,0.0123
Girvan-Newman,3,0.4549,0.4872,0.2045,3.974
Kernighan-Lin,8,0.5319,0.7791,0.6163,0.0142
Spinglass,11,0.6015,0.9065,0.8558,0.2997
Markov Clustering (MCL),12,0.6005,0.9242,0.8967,0.0545
