Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,4,0.4151,0.6,0.5089,0.0027
Leiden,4,0.4198,0.5878,0.4646,0.0006
Walktrap,5,0.3532,0.4899,0.3207,0.0003
Infomap,3,0.402,0.5684,0.5906,0.0029
Label Propagation (LPA),4,0.4033,0.5056,0.4588,0.0007
Fast LPA (FLPA),4,0.4151,0.6,0.5089,0.0142
LPA-MNI,4,0.39,0.5111,0.4809,0.0077
Constrained LPA (CLPA),4,0.4174,0.5925,0.4831,0.0027
FluidC,5,0.3758,0.4639,0.3285,0.0015
Girvan-Newman,3,0.3488,0.6804,0.7212,0.0436
Kernighan-Lin,4,0.384,0.493,0.3693,0.0018
Spinglass,5,0.4158,0.5622,0.4313,0.2091
Markov Clustering (MCL),2,0.36,0.7324,0.7717,0.033
