Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,5,0.5272,0.5603,0.6567,0.0075
Leiden,4,0.5269,0.5737,0.6752,0.001
Walktrap,4,0.507,0.5427,0.6534,0.0011
Infomap,5,0.5268,0.5369,0.6463,0.0106
Label Propagation (LPA),4,0.5154,0.5497,0.6667,0.0023
Fast LPA (FLPA),4,0.5262,0.5537,0.6649,0.0557
LPA-MNI,5,0.5248,0.5259,0.6116,0.03
Constrained LPA (CLPA),5,0.5251,0.5427,0.6487,0.0119
FluidC,10,0.4108,0.4003,0.185,0.007
Girvan-Newman,3,0.4831,0.5754,0.6795,1.1916
Kernighan-Lin,8,0.4297,0.395,0.202,0.0114
Spinglass,6,0.5259,0.4781,0.4534,0.7055
Markov Clustering (MCL),5,0.5138,0.5209,0.5936,0.0451
