Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,5,0.3708,0.7805,0.5032,0.0762
Leiden,6,0.3758,0.8475,0.6061,0.0049
Walktrap,3,0.3375,0.6238,0.309,0.0186
Infomap,6,0.3758,0.8475,0.6061,0.0498
Label Propagation (LPA),2,0.2687,0.4169,0.1666,0.0158
Fast LPA (FLPA),3,0.3589,0.6307,0.3396,0.1984
LPA-MNI,8,0.3631,0.9281,0.7994,0.3089
Constrained LPA (CLPA),5,0.3754,0.8072,0.5581,0.0584
FluidC,15,0.2519,0.8993,0.8267,0.0625
Girvan-Newman,5,0.0008,0.0339,0.0007,64.3595
Kernighan-Lin,8,0.2825,0.8071,0.7011,0.0889
Spinglass,6,0.3758,0.8475,0.6061,1.1309
Markov Clustering (MCL),2,0.2819,0.4237,0.1718,0.1949
