Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,4,0.3415,0.6329,0.5292,0.0634
Leiden,4,0.3417,0.6408,0.5355,0.0041
Walktrap,7,0.3188,0.5718,0.4426,0.0134
Infomap,3,0.2849,0.598,0.3606,0.0317
Label Propagation (LPA),2,0.2654,0.4284,0.252,0.0098
Fast LPA (FLPA),2,0.2654,0.4284,0.252,0.1367
LPA-MNI,4,0.2932,0.5703,0.3389,0.192
Constrained LPA (CLPA),4,0.3415,0.6329,0.5292,0.0564
FluidC,14,0.2207,0.6848,0.4626,0.0723
Girvan-Newman,5,-0.0,0.0298,-0.0037,5.1574
Kernighan-Lin,8,0.2587,0.6169,0.4808,0.0779
Spinglass,5,0.3416,0.6448,0.5403,3.5888
Markov Clustering (MCL),3,0.2659,0.4385,0.2575,0.1485
