Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,29,0.8154,0.6278,0.573,1.0601
Leiden,29,0.8179,0.6254,0.5452,0.074
Walktrap,328,0.7727,0.583,0.482,2.3254
Infomap,405,0.7349,0.5277,0.2334,3.0148
Label Propagation (LPA),142,0.7976,0.6294,0.5527,0.6622
Fast LPA (FLPA),616,0.7584,0.5791,0.4449,9.1898
LPA-MNI,294,0.767,0.583,0.4591,6.3798
Constrained LPA (CLPA),27,0.8147,0.6307,0.5639,1.1321
FluidC,87,0.5651,0.457,0.1026,0.8502
Kernighan-Lin,8,0.7263,0.3771,0.2994,1.6568
Markov Clustering (MCL),1652,0.4126,0.4616,0.0407,2.8947
